[2022-12-19 23:21:15,011]:INFO:iter:17, batch_loss==mmLoss:0.0,dloss:0.08333775121718645===
[2022-12-19 23:21:23,939]:INFO:iter:18, batch_loss==mmLoss:0.0,dloss:0.08515996672213078===
[2022-12-19 23:21:32,619]:INFO:iter:19, batch_loss==mmLoss:0.0,dloss:0.06706798327069023===
[2022-12-19 23:21:41,398]:INFO:iter:20, batch_loss==mmLoss:0.0,dloss:0.05571531713940203===
[2022-12-19 23:22:19,865]:INFO:iter:20,original:--P:0.06771386117597113,--R:0.30821256038647343,--F:0.11103376261747303
[2022-12-19 23:22:28,283]:INFO:iter:21, batch_loss==mmLoss:0.0,dloss:0.06099971402436495===
[2022-12-19 23:22:37,105]:INFO:iter:22, batch_loss==mmLoss:0.0,dloss:0.06767188383359013===
[2022-12-19 23:22:45,372]:INFO:iter:23, batch_loss==mmLoss:0.0,dloss:0.04284877721802331===
[2022-12-19 23:22:53,737]:INFO:iter:24, batch_loss==mmLoss:0.0,dloss:0.04510391904041171===
[2022-12-19 23:23:02,268]:INFO:iter:25, batch_loss==mmLoss:0.0,dloss:0.05814149513607845===
[2022-12-19 23:23:11,042]:INFO:iter:26, batch_loss==mmLoss:0.0,dloss:0.04555976137053221===
[2022-12-19 23:23:19,673]:INFO:iter:27, batch_loss==mmLoss:0.0,dloss:0.04768612314755316===
[2022-12-19 23:23:28,035]:INFO:iter:28, batch_loss==mmLoss:0.0,dloss:0.0403076778707554===
[2022-12-19 23:23:36,428]:INFO:iter:29, batch_loss==mmLoss:0.0,dloss:0.04248706942889839===
[2022-12-19 23:23:45,024]:INFO:iter:30, batch_loss==mmLoss:0.0,dloss:0.03898006151709552===
[2022-12-19 23:23:53,977]:INFO:iter:31, batch_loss==mmLoss:0.0,dloss:0.046399348304839806===
[2022-12-19 23:24:03,136]:INFO:iter:32, batch_loss==mmLoss:0.0,dloss:0.05561734174261801===
[2022-12-19 23:24:11,875]:INFO:iter:33, batch_loss==mmLoss:0.0,dloss:0.030818583691900513===
[2022-12-19 23:24:20,416]:INFO:iter:34, batch_loss==mmLoss:0.0,dloss:0.03790066453511827===
[2022-12-19 23:24:28,544]:INFO:iter:35, batch_loss==mmLoss:0.0,dloss:0.03092255827899635===
[2022-12-19 23:24:37,542]:INFO:iter:36, batch_loss==mmLoss:0.0,dloss:0.05095278697554022===
[2022-12-19 23:24:45,859]:INFO:iter:37, batch_loss==mmLoss:0.0,dloss:0.04481463813770832===
[2022-12-19 23:24:54,813]:INFO:iter:38, batch_loss==mmLoss:0.0,dloss:0.03543354857829399===
